==> Args
    - save_data : ../data/iwslt14
    - work_dir : PATH_TO_ACTOR_FOLDER/20210408-131727
    - nemb : 256
    - nhid : 256
    - natthid : 256
    - nlayer : 1
    - drope : 0.0
    - droph : 0.3
    - att_mode : dotprod
    - input_feed : False
    - seed : 1234
    - cuda : True
    - epochs : 30
    - train_bs : 2
    - valid_bs : 2
    - test_bs : 2
    - param_init : 0.1
    - optim : sgd
    - lr : 0.6
    - grad_clip : 5.0
    - start_decay : 0
    - lr_decay : 0.5
    - num_decay : 6
    - log_interval : 200
    - debug : False
    - test_only : False
    - beamsize : 5
    - ppl_anneal : False
==> Vocabulary
    - vocab size: src=32038, tgt=22811
    - special symbols [src]: <pad>=0, <unk>=1
    - special symbols [tgt]: <pad>=0, <unk>=1, <bos>=2, <eos>=3
==> Initalize actor
    - number of params: 20956443
=========================================================================================
| epoch   0 | 40200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.37 | ppl    78.66 
| epoch   0 | 40400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.28 | ppl    72.15 
| epoch   0 | 40600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.27 | ppl    71.59 
| epoch   0 | 40800/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.36 | ppl    78.12 
| epoch   0 | 41000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.34 | ppl    76.99 
| epoch   0 | 41200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.31 | ppl    74.78 
| epoch   0 | 41400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.23 | ppl    68.53 
| epoch   0 | 41600/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.24 | ppl    69.42 
| epoch   0 | 41800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.27 | ppl    71.58 
| epoch   0 | 42000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.32 | ppl    75.12 
| epoch   0 | 42200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.27 | ppl    71.31 
| epoch   0 | 42400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.33 | ppl    75.75 
